tconst,titulo,ano,generos,nota,diretores
tt0002642,The Heir to Skjoldborg,1914,Drama,5.7,nm0169878
tt0002646,Atlantis,1913,Drama,6.5,nm0088881
tt0002648,Old Brandis' Eyes,1913,"Drama,Fantasy",6.7,nm0753233
tt0002649,Australia Calls,1913,,,nm0519315
tt0002669,The Battle of Gettysburg,1913,"Drama,War",6.7,nm0316794|nm0408436
tt0002670,The Battle of Shiloh,1913,"Drama,History,War",,nm0806961
tt0002685,Blodets röst,1913,Drama,5.8,nm0803705
tt0002727,Bøffen og bananen,1913,,,
tt0002735,Le camée,1913,,,nm0869665
tt0002739,Carmen,1914,,3.0,nm0233626|nm0878069
tt0002746,Checkers,1913,"Comedy,Drama",5.0,nm0858501
tt0002772,The Criminal Path,1914,"Crime,Drama",,nm0205653
tt0002785,La dame de Monsoreau,1913,,5.6,nm0869665
tt0002798,Le dernier pardon,1913,Comedy,,nm0869665
tt0002801,The Black Diamond,1913,,5.6,nm0532622
tt0002820,East Lynne,1913,Drama,6.2,nm0354790
tt0002823,Die Eisbraut,1913,,,nm0753233
tt0002833,Evinrude,1913,"Crime,Drama",,nm0753233
tt0002844,Fantômas: In the Shadow of the Guillotine,1913,"Crime,Drama",6.9,nm0275421
tt0002859,The Fight for Millions,1913,Drama,,nm0085133
tt0002888,Fulano de Tal se enamora de Manón,1916,Comedy,,nm0674398
tt0002898,"Germinal; or, The Toll of Labor",1913,Drama,7.0,nm0135052
tt0002916,Die große Sünderin,1914,,,nm0823150
tt0002917,Brother Against Brother,1913,Drama,5.7,nm0830249
tt0002975,L'homme qui assassina,1913,,,nm0029253
tt0002978,Hoodman Blind,1913,Drama,,nm0330280
tt0002987,"How Fine, How Fresh the Roses Were",1913,Romance,,nm0698839
tt0002996,My Husband's Getting Married,1913,Comedy,3.6,nm0002031
tt0003002,The Firefly,1913,Drama,5.6,nm1267460
tt0003006,In the Bishop's Carriage,1913,"Crime,Drama",5.7,nm0205986|nm0692105
tt0003008,In the Stretch,1913,Drama,,nm0205653
tt0003014,Ingeborg Holm,1913,Drama,7.0,nm0803705
tt0003015,Die Insel der Seligen,1913,"Comedy,Fantasy",4.6,nm0718121
tt0003022,Ivanhoe,1913,"Adventure,Drama,Romance",5.7,nm0107543
tt0003037,Fantomas: The Man in Black,1913,"Crime,Drama",6.9,nm0275421
tt0003039,The Keys to Happiness,1913,Drama,5.8,nm0306723|nm0698839
tt0003048,A Lady of Quality,1913,Drama,,nm0205986
tt0003051,Die Landstraße,1913,,,nm0903249
tt0003056,Leah Kleschna,1913,"Crime,Drama",,nm0205986
tt0003058,The Legend of Provence,1913,Drama,,nm0601190
tt0003070,The Lipton Cup: Introducing Sir Thomas Lipton,1913,"Drama,Sport",,nm0662442
tt0003076,Livets konflikter,1913,Drama,,nm0803705
tt0003102,Love Everlasting,1914,Drama,6.1,nm0143333
tt0003113,Mala raza,1913,,,nm0005717
